"","namesOLD","sampleType","CultureName","SampleDateOld","SampleDateNew","simpleNames","namesNew","order"
"34","FSK_101_75","FSK","101","75","1975","starter 1","FSK RMK101
1975",1
"4","Lyo_101_76_4_7","Lyo","101","76_4_7","1976 Apr 7","starter 2","Lyo RMK101
1976 Apr 7",2
"2","Lyo_101_77","Lyo","101","77","1977","starter 3","Lyo RMK101
1977",3
"1","Lyo_101_02_7","Lyo","101","02_7","2002 Jul","starter 4","Lyo RMK101
2002 Jul",4
"16","Lyo_101_10_2","Lyo","101","10_2","2010 Feb","starter 5","Lyo RMK101
2010 Feb",5
"27","Lyo_101_16","Lyo","101","16","2016","starter 6","Lyo RMK101
2016",6
"8","ws_101_19","Ws","101","19","2019","starter 7","Ws RMK101
2019",7
"68","Vers_101_20","Vers","101","20","2020","starter 8","Vers RMK101
2020",8
"71","M17x_101_20","M17x","101","20","2020","starter 11","M17x RMK101
2020",9
"84","Therm_101_20","Therm","101","20","2020","starter 9","Therm RMK101
2020",10
"85","24h_101_20","24h","101","20","2020","starter 10","24h RMK101
2020",11
"20","FSK_105_75","FSK","105","75","1975","starter 1","FSK RMK105
1975",12
"43","Lyo_105_76_4_1","Lyo","105","76_4_1","1976 Apr 1","starter 2","Lyo RMK105
1976 Apr 1",13
"39","Lyo_105_76_4_2","Lyo","105","76_4_2","1976 Apr 2","starter 3","Lyo RMK105
1976 Apr 2",14
"7","FSK_105_76_4_6","FSK","105","76_4_6","1976 Apr 6","starter 4","FSK RMK105
1976 Apr 6",15
"38","Lyo_105_76_2","Lyo","105","76_2","1976 Feb","starter 5","Lyo RMK105
1976 Feb",16
"46","Lyo_105_76_1","Lyo","105","76_1","1976 Jan","starter 6","Lyo RMK105
1976 Jan",17
"35","Lyo_105_76_5_11","Lyo","105","76_5_11","1976 Mai 11","starter 7","Lyo RMK105
1976 Mai 11",18
"41","Lyo_105_76_5_13","Lyo","105","76_5_13","1976 Mai 13","starter 8","Lyo RMK105
1976 Mai 13",19
